Name,Rating,Release_date,Genres,Director_name,Runtime,URL
Scream,68.0,01/14/2022,"Horror,Mystery,Thriller,Comedy","Tyler Gillett,Matt Bettinelli-Olpin",1h 54m,https://themoviedb.org/movie/646385
The Seven Deadly Sins: Cursed by Light,79.0,07/02/2021,"Animation,Fantasy",Takayuki Hamana,1h 19m,https://themoviedb.org/movie/843241
Kimi,62.0,02/10/2022,Thriller,Steven Soderbergh,1h 29m,https://themoviedb.org/movie/800510
The Boss Baby: Family Business,76.0,07/02/2021,"Animation,Comedy,Adventure,Family",Tom McGrath,1h 47m,https://themoviedb.org/movie/459151
Pirates of the Caribbean: The Curse of the Black Pearl,78.0,08/15/2003,"Adventure,Fantasy,Action",Gore Verbinski,2h 23m,https://themoviedb.org/movie/22
Tom and Jerry: Cowboy Up!,70.0,01/25/2022,"Animation,Comedy,Family,Western",Darrell Van Citters,1h 15m,https://themoviedb.org/movie/892153
Pirates of the Caribbean: At World's End,72.0,05/19/2007,"Adventure,Fantasy,Action",Gore Verbinski,2h 49m,https://themoviedb.org/movie/285
Ghostbusters: Afterlife,77.0,11/11/2021,"Fantasy,Comedy,Adventure",Jason Reitman,2h 4m,https://themoviedb.org/movie/425909
2000 Mules,100.0,05/02/2022,"Documentary,Crime","Bruce Schooley,Debbie D'Souza,Dinesh D'Souza",NAN,https://themoviedb.org/movie/933554
Last Man Down,63.0,10/19/2021,"Action,Thriller",Fansu Njie,1h 27m,https://themoviedb.org/movie/860623
Dr. Strange,63.0,09/06/1978,"TVMovie,Action,Adventure,Fantasy,ScienceFiction",Philip DeGuere Jr.,1h 33m,https://themoviedb.org/movie/50468
The House,70.0,01/14/2022,"Animation,Drama,Comedy,Horror","Emma De Swaef,Niki Lindroth von Bahr,Paloma Baeza,Marc James Roels",1h 37m,https://themoviedb.org/movie/926899
Restless,59.0,02/25/2022,"Action,Thriller,Crime",Régis Blondeau,1h 35m,https://themoviedb.org/movie/928381
Texas Chainsaw Massacre,51.0,02/18/2022,"Horror,Thriller",David Blue Garcia,1h 23m,https://themoviedb.org/movie/632727
The Matrix Resurrections,67.0,12/22/2021,"ScienceFiction,Action,Adventure",Lana Wachowski,2h 28m,https://themoviedb.org/movie/624860
Clifford the Big Red Dog,73.0,11/10/2021,"Family,Adventure,Comedy,Fantasy",Walt Becker,1h 37m,https://themoviedb.org/movie/585245
The Contractor,64.0,04/01/2022,"Action,Thriller",Tarik Saleh,1h 43m,https://themoviedb.org/movie/628900
Jackass Forever,69.0,02/04/2022,"Comedy,Action",Jeff Tremaine,1h 36m,https://themoviedb.org/movie/656663
Pirates of the Caribbean: Dead Men Tell No Tales,66.0,05/26/2017,"Adventure,Action,Fantasy","Joachim Rønning,Espen Sandberg",2h 9m,https://themoviedb.org/movie/166426
Honeymoon With My Mother,65.0,04/29/2022,Comedy,Paco Caballero,1h 50m,https://themoviedb.org/movie/955971
Red Notice,68.0,11/05/2021,"Action,Comedy,Crime,Thriller",Rawson Marshall Thurber,1h 58m,https://themoviedb.org/movie/512195
The Commando,66.0,01/07/2022,"Action,Crime,Thriller",Asif Akbar,1h 33m,https://themoviedb.org/movie/753232
Desperate Riders,61.0,02/25/2022,"Western,Action",Michael Feifer,1h 30m,https://themoviedb.org/movie/928999
Fistful of Vengeance,54.0,02/17/2022,"Action,Crime,Fantasy",Roel Reiné,1h 34m,https://themoviedb.org/movie/890656
PAW Patrol: The Movie,75.0,08/20/2021,"Animation,Family,Adventure,Comedy",Cal Brunker,1h 26m,https://themoviedb.org/movie/675445
Fortress: Sniper's Eye,62.0,04/29/2022,"Crime,Action",Josh Sternfeld,1h 27m,https://themoviedb.org/movie/883502
The Northman,77.0,04/22/2022,"Action,Adventure,Fantasy,Drama",Robert Eggers,2h 17m,https://themoviedb.org/movie/639933
Fate/Grand Order Final Singularity – Grand Temple of Time: Solomon,62.0,07/30/2021,"Animation,Action,Adventure,Fantasy",Toshifumi Akai,1h 34m,https://themoviedb.org/movie/829920
The Suicide Squad,77.0,08/06/2021,"Action,Adventure,Fantasy",James Gunn,2h 12m,https://themoviedb.org/movie/436969
