Name,Rating,Release_date,Genres,Director_name,Runtime,URL
Porn to Be Free,55.0,06/24/2016,Documentary,Carmine Amoroso,1h 19m,https://themoviedb.org/movie/381749
22 vs. Earth,71.0,04/30/2021,"Family,Comedy,Fantasy,Animation",Kevin Nolting,9m,https://themoviedb.org/movie/811367
Malignant,70.0,09/10/2021,"Thriller,Horror,Mystery",James Wan,1h 51m,https://themoviedb.org/movie/619778
Psycho-Pass 3: First Inspector,76.0,03/27/2020,"ScienceFiction,Action,Crime,Animation",Naoyoshi Shiotani,2h 17m,https://themoviedb.org/movie/655431
Wrong Turn 2: Dead End,60.0,10/08/2007,"Horror,Thriller",Joe Lynch,1h 36m,https://themoviedb.org/movie/13186
Predators,62.0,07/03/2010,"ScienceFiction,Action,Thriller",Nimród Antal,1h 47m,https://themoviedb.org/movie/34851
Train to Busan,78.0,07/20/2016,"Action,Horror,Thriller",Yeon Sang-ho,1h 58m,https://themoviedb.org/movie/396535
Call Me by Your Name,82.0,02/28/2018,"Romance,Drama",Luca Guadagnino,2h 12m,https://themoviedb.org/movie/398818
Toy Story 3,78.0,06/25/2010,"Animation,Family,Comedy",Lee Unkrich,1h 43m,https://themoviedb.org/movie/10193
Altered Carbon: Resleeved,65.0,03/19/2020,"Animation,ScienceFiction","Yoshiyuki Okada,Takeru Nakajima",1h 15m,https://themoviedb.org/movie/665251
The Exorcist,77.0,08/27/1977,Horror,William Friedkin,2h 2m,https://themoviedb.org/movie/9552
John Wick: Chapter 2,73.0,02/24/2017,"Thriller,Action,Crime",Chad Stahelski,2h 2m,https://themoviedb.org/movie/324552
The Intouchables,83.0,07/13/2012,"Drama,Comedy","Éric Toledano,Olivier Nakache",1h 53m,https://themoviedb.org/movie/77338
John Carter,62.0,03/09/2012,"Action,Adventure,ScienceFiction",Andrew Stanton,2h 12m,https://themoviedb.org/movie/49529
The Pilgrim's Progress,79.0,04/18/2019,"Animation,Adventure",Robert Fernandez,1h 48m,https://themoviedb.org/movie/595172
Dragon Ball Z: The Tree of Might,65.0,06/07/1990,"Action,Animation,ScienceFiction",Daisuke Nishio,1h 1m,https://themoviedb.org/movie/39101
Batman v Superman: Dawn of Justice,59.0,05/06/2016,"Action,Adventure,Fantasy",Zack Snyder,2h 32m,https://themoviedb.org/movie/209112
Battle: Los Angeles,57.0,03/08/2011,"ScienceFiction,Action",Jonathan Liebesman,1h 56m,https://themoviedb.org/movie/44943
Vivo,76.0,08/06/2021,"Animation,Family,Comedy",Kirk DeMicco,1h 39m,https://themoviedb.org/movie/449406
Beauty and the Beast,77.0,11/22/1991,"Romance,Family,Animation,Fantasy","Kirk Wise,Gary Trousdale",1h 24m,https://themoviedb.org/movie/10020
Grown Ups 2,61.0,07/12/2013,Comedy,Dennis Dugan,1h 41m,https://themoviedb.org/movie/109418
Garota da Moto,53.0,09/23/2021,Action,Luis Pinheiro,NAN,https://themoviedb.org/movie/876262
No Manches Frida,78.0,09/15/2016,Comedy,Nacho G. Velilla,1h 40m,https://themoviedb.org/movie/375794
The Lord of the Rings: The Two Towers,84.0,12/18/2002,"Adventure,Fantasy,Action",Peter Jackson,2h 59m,https://themoviedb.org/movie/121
La Llorona,65.0,01/22/2020,"Thriller,Horror,Drama",Jayro Bustamante,1h 37m,https://themoviedb.org/movie/617708
Girl in the Basement,80.0,02/27/2021,"Crime,Thriller",Elisabeth Röhm,1h 30m,https://themoviedb.org/movie/801335
The Town,72.0,10/15/2010,"Crime,Drama,Thriller",Ben Affleck,2h 5m,https://themoviedb.org/movie/23168
Fifty Shades Darker,65.0,02/10/2017,"Drama,Romance",James Foley,1h 58m,https://themoviedb.org/movie/341174
Tarzan,74.0,06/18/1999,"Family,Adventure,Animation,Drama","Kevin Lima,Chris Buck",1h 28m,https://themoviedb.org/movie/37135
SAS: Red Notice,59.0,08/11/2021,"Drama,Action,Thriller",Magnus Martens,2h,https://themoviedb.org/movie/595743
American Pie Presents: The Book of Love,52.0,12/04/2009,Comedy,John Putch,1h 33m,https://themoviedb.org/movie/26123
Inside Out,79.0,06/26/2015,"Animation,Family,Adventure,Drama,Comedy",Pete Docter,1h 35m,https://themoviedb.org/movie/150540
The Dark Knight,85.0,07/18/2008,"Drama,Action,Crime,Thriller",Christopher Nolan,2h 32m,https://themoviedb.org/movie/155
High School Teacher: Maturing,64.0,01/15/1985,Drama,Shōgorō Nishimura,1h 9m,https://themoviedb.org/movie/630639
Scary Movie 2,58.0,07/04/2001,Comedy,Keenen Ivory Wayans,1h 23m,https://themoviedb.org/movie/4248
Mad Max: Fury Road,76.0,05/15/2015,"Action,Adventure,ScienceFiction",George Miller,2h 1m,https://themoviedb.org/movie/76341
Wreck-It Ralph,73.0,11/02/2012,"Family,Animation,Comedy,Adventure",Rich Moore,1h 41m,https://themoviedb.org/movie/82690
Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),70.0,02/07/2020,"Action,Crime",Cathy Yan,1h 49m,https://themoviedb.org/movie/495764
From Straight A's to XXX,56.0,02/11/2017,"Drama,TVMovie",Vanessa Parise,1h 27m,https://themoviedb.org/movie/441168
Godzilla: King of the Monsters,67.0,05/30/2019,"ScienceFiction,Action",Michael Dougherty,2h 12m,https://themoviedb.org/movie/373571
The Simpsons Movie,70.0,07/27/2007,"Animation,Comedy,Family",David Silverman,1h 27m,https://themoviedb.org/movie/35
Transformers: Age of Extinction,59.0,06/27/2014,"ScienceFiction,Action,Adventure",Michael Bay,2h 45m,https://themoviedb.org/movie/91314
LEGO Star Wars Terrifying Tales,69.0,10/01/2021,"Family,Animation,ScienceFiction,Comedy",Ken Cunningham,45m,https://themoviedb.org/movie/857702
How to Train Your Dragon: The Hidden World,78.0,03/21/2019,"Animation,Family,Adventure",Dean DeBlois,1h 44m,https://themoviedb.org/movie/166428
Outside the Wire,64.0,01/15/2021,"Thriller,Action,ScienceFiction",Mikael Håfström,1h 56m,https://themoviedb.org/movie/775996
Misfit,80.0,10/15/2021,"Comedy,Romance",Orlando Herrera,1h 30m,https://themoviedb.org/movie/893941
Superbad,72.0,08/17/2007,Comedy,Greg Mottola,1h 53m,https://themoviedb.org/movie/8363
Hercules,75.0,06/27/1997,"Animation,Family,Fantasy,Adventure,Comedy,Romance","John Musker,Ron Clements",1h 33m,https://themoviedb.org/movie/11970
Rock Dog 2: Rock Around the Park,69.0,06/24/2021,"Animation,Comedy,Music,Family",Mark Baldo,1h 30m,https://themoviedb.org/movie/812204
Despicable Me 2,69.0,07/03/2013,"Animation,Comedy,Family","Pierre Coffin,Chris Renaud",1h 38m,https://themoviedb.org/movie/93456
Pinocchio,71.0,02/23/1940,"Animation,Family","Ben Sharpsteen,Wilfred Jackson,Jack Kinney,T. Hee,William Roberts,Hamilton Luske,Norman Ferguson",1h 28m,https://themoviedb.org/movie/10895
Aquaman,69.0,12/14/2018,"Action,Adventure,Fantasy",James Wan,2h 23m,https://themoviedb.org/movie/297802
Dragon Ball Z: Super Android 13!,67.0,07/11/1992,"Action,Animation,ScienceFiction",Daisuke Nishio,46m,https://themoviedb.org/movie/39104
Snoopy Presents: For Auld Lang Syne,74.0,12/09/2021,"Animation,Family",Clay Kaytis,39m,https://themoviedb.org/movie/881211
Jolt,67.0,07/15/2021,"Action,Comedy",Tanya Wexler,1h 31m,https://themoviedb.org/movie/617502
Chappie,68.0,03/06/2015,"Crime,Action,ScienceFiction",Neill Blomkamp,2h,https://themoviedb.org/movie/198184
Sex with Love,65.0,03/27/2003,"Comedy,Romance",Boris Quercia,1h 48m,https://themoviedb.org/movie/20222
Red Shoes and the Seven Dwarfs,78.0,07/25/2019,"Animation,Romance,Family",Hong Sung-ho,1h 32m,https://themoviedb.org/movie/486589
Burn the Stage: The Movie,87.0,11/15/2018,"Documentary,Music",Park Jun-soo,1h 25m,https://themoviedb.org/movie/553512
Dragon Ball Z: Wrath of the Dragon,72.0,07/15/1995,"Animation,Action,ScienceFiction",Mitsuo Hashimoto,51m,https://themoviedb.org/movie/39108
Barbie: A Fashion Fairytale,72.0,09/14/2010,"Family,Animation",William Lau,1h 19m,https://themoviedb.org/movie/44874
Naruto Shippuden the Movie: The Lost Tower,70.0,07/31/2010,"Adventure,Action,Animation",Masahiko Murata,1h 25m,https://themoviedb.org/movie/50723
Cirque du Freak: The Vampire's Assistant,57.0,10/23/2009,"Adventure,Fantasy,Action,Thriller",Paul Weitz,1h 49m,https://themoviedb.org/movie/24418
Cherry,75.0,02/26/2021,"Drama,Crime","Anthony Russo,Joe Russo",2h 20m,https://themoviedb.org/movie/544401
Caged,62.0,01/26/2021,"Thriller,Horror",Aaron Fjellman,1h 21m,https://themoviedb.org/movie/777620
San Andreas,62.0,05/28/2015,"Action,Drama,Thriller",Brad Peyton,1h 54m,https://themoviedb.org/movie/254128
The Hunger Games: Mockingjay - Part 1,68.0,11/21/2014,"ScienceFiction,Adventure,Thriller",Francis Lawrence,2h 3m,https://themoviedb.org/movie/131631
The Emperor's New Groove,75.0,12/15/2000,"Adventure,Animation,Comedy,Family,Fantasy",Mark Dindal,1h 18m,https://themoviedb.org/movie/11688
Kung Fu Panda,72.0,06/05/2008,"Action,Adventure,Animation,Family,Comedy","Mark Osborne,John Stevenson",1h 30m,https://themoviedb.org/movie/9502
The Lord of the Rings: The Return of the King,85.0,02/06/2004,"Adventure,Fantasy,Action",Peter Jackson,3h 21m,https://themoviedb.org/movie/122
The Unforgivable,75.0,11/24/2021,"Drama,Crime",Nora Fingscheidt,1h 52m,https://themoviedb.org/movie/645886
Host,66.0,12/18/2020,"Horror,Thriller,Mystery",Rob Savage,57m,https://themoviedb.org/movie/723072
The Expendables,62.0,08/13/2010,"Thriller,Adventure,Action",Sylvester Stallone,1h 43m,https://themoviedb.org/movie/27578
Along with the Gods: The Two Worlds,81.0,12/20/2017,"Drama,Fantasy,Action",Kim Yong-hwa,2h 19m,https://themoviedb.org/movie/397567
Garfield,56.0,11/05/2004,"Animation,Comedy,Family",Peter Hewitt,1h 20m,https://themoviedb.org/movie/8920
Shrek Forever After,63.0,05/16/2010,"Comedy,Adventure,Fantasy,Animation,Family",Mike Mitchell,1h 33m,https://themoviedb.org/movie/10192
Pacific Rim: Uprising,61.0,03/28/2018,"Action,Fantasy,ScienceFiction,Adventure",Steven S. DeKnight,1h 51m,https://themoviedb.org/movie/268896
The Meg,62.0,08/10/2018,"Action,ScienceFiction,Horror",Jon Turteltaub,1h 53m,https://themoviedb.org/movie/345940
A Bug's Life,70.0,11/25/1998,"Adventure,Animation,Comedy,Family",John Lasseter,1h 35m,https://themoviedb.org/movie/9487
Extinct,64.0,10/03/2021,"Animation,Comedy,Family,Adventure",David Silverman,1h 25m,https://themoviedb.org/movie/664236
Monica and Friends: Lessons,82.0,12/30/2021,"Family,Drama,Comedy",Daniel Rezende,1h 37m,https://themoviedb.org/movie/662745
Looking Back at it All: The Dragon Ball Z Year-End Show!,70.0,12/31/1993,"Action,Animation,Comedy",,5m,https://themoviedb.org/movie/371370
Exploits of a Young Don Juan,54.0,03/11/1987,"Comedy,Drama",Gianfranco Mingozzi,1h 35m,https://themoviedb.org/movie/81774
Catch the Bullet,57.0,09/10/2021,"Western,Action",Michael Feifer,1h 29m,https://themoviedb.org/movie/859860
More the Merrier,68.0,07/30/2021,"Comedy,Romance",Paco Caballero,1h 52m,https://themoviedb.org/movie/763152
Ashfall,66.0,12/19/2019,"Action,Adventure,Thriller","Lee Hae-jun,Kim Byung-seo",2h 8m,https://themoviedb.org/movie/581387
X-Men: Apocalypse,65.0,05/27/2016,"Action,Adventure,ScienceFiction,Fantasy",Bryan Singer,2h 24m,https://themoviedb.org/movie/246655
The Proposal,71.0,06/01/2009,"Comedy,Romance,Drama",Anne Fletcher,1h 48m,https://themoviedb.org/movie/18240
John Wick: Chapter 3 - Parabellum,74.0,05/17/2019,"Action,Thriller,Crime",Chad Stahelski,2h 10m,https://themoviedb.org/movie/458156
Scary Movie 5,48.0,04/12/2013,Comedy,Malcolm D. Lee,1h 26m,https://themoviedb.org/movie/4258
The Lion King II: Simba's Pride,70.0,10/24/1998,"Family,Adventure,Animation",Darrell Rooney,1h 21m,https://themoviedb.org/movie/9732
Ice Age: Collision Course,61.0,07/22/2016,"Adventure,Animation,Family,Comedy,ScienceFiction",Mike Thurmeier,1h 35m,https://themoviedb.org/movie/278154
Bound by Honor,81.0,02/05/1993,"Crime,Action,Drama,Thriller",Taylor Hackford,3h 10m,https://themoviedb.org/movie/9702
Bad Boys for Life,72.0,01/17/2020,"Thriller,Action,Crime","Adil El Arbi,Bilall Fallah",2h 4m,https://themoviedb.org/movie/38700
The Hobbit: An Unexpected Journey,73.0,11/26/2012,"Adventure,Fantasy,Action",Peter Jackson,2h 49m,https://themoviedb.org/movie/49051
Awake,60.0,06/09/2021,"Drama,ScienceFiction,Thriller",Mark Raso,1h 36m,https://themoviedb.org/movie/615658
Escape Room: Tournament of Champions,67.0,07/16/2021,"Horror,Thriller,Mystery",Adam Robitel,1h 28m,https://themoviedb.org/movie/585216
Wrong Turn 5: Bloodlines,53.0,10/23/2012,"Horror,Thriller",Declan O'Brien,1h 31m,https://themoviedb.org/movie/125509
Bubble,83.0,05/13/2022,"Animation,Adventure,ScienceFiction",Tetsuro Araki,1h 41m,https://themoviedb.org/movie/912598
Nightbooks,64.0,09/15/2021,"Fantasy,Family",David Yarovesky,1h 43m,https://themoviedb.org/movie/739990
Tall Girl 2,59.0,02/11/2022,"Comedy,Romance",Emily Ting,1h 37m,https://themoviedb.org/movie/772272
Barbie as Rapunzel,70.0,10/01/2002,"Animation,Family",Owen Hurley,1h 24m,https://themoviedb.org/movie/15015
Zack and Miri Make a Porno,63.0,09/18/2008,Comedy,Kevin Smith,1h 42m,https://themoviedb.org/movie/10358
Ice Age: The Meltdown,67.0,04/21/2006,"Animation,Family,Comedy,Adventure",Carlos Saldanha,1h 31m,https://themoviedb.org/movie/950
Alice in Wonderland,72.0,09/14/1951,"Animation,Family,Fantasy,Adventure","Hamilton Luske,Clyde Geronimi,Wilfred Jackson",1h 15m,https://themoviedb.org/movie/12092
Barbie Fairytopia: Mermaidia,68.0,03/14/2006,"Animation,Family,Adventure,Fantasy","Walter P. Martishius,William Lau",1h 15m,https://themoviedb.org/movie/13285
One Hundred and One Dalmatians,72.0,01/25/1961,"Adventure,Animation,Comedy,Family","Wolfgang Reitherman,Hamilton Luske,Clyde Geronimi",1h 19m,https://themoviedb.org/movie/12230
Jumanji: The Next Level,70.0,12/13/2019,"Adventure,Comedy,Fantasy",Jake Kasdan,2h 3m,https://themoviedb.org/movie/512200
Black Panther,74.0,02/16/2018,"Action,Adventure,ScienceFiction",Ryan Coogler,2h 14m,https://themoviedb.org/movie/284054
Brave,70.0,06/22/2012,"Animation,Adventure,Comedy,Family,Action,Fantasy","Brenda Chapman,Mark Andrews",1h 33m,https://themoviedb.org/movie/62177
Grudge,64.0,10/08/2021,Thriller,Türkan Derya,1h 44m,https://themoviedb.org/movie/874948
Saint Seiya Heaven Chapter: Overture,77.0,02/14/2004,"Animation,Fantasy",Shigeyasu Yamauchi,1h 23m,https://themoviedb.org/movie/50253
Dragon Ball Z: The Return of Cooler,66.0,03/07/1992,"Action,Animation,ScienceFiction",Daisuke Nishio,46m,https://themoviedb.org/movie/39103
Star Wars,82.0,04/18/1997,"Adventure,Action,ScienceFiction",George Lucas,2h 1m,https://themoviedb.org/movie/11
Ice Age: Continental Drift,63.0,07/27/2012,"Animation,Comedy,Adventure,Family","Mike Thurmeier,Steve Martino",1h 28m,https://themoviedb.org/movie/57800
The Hangover Part III,62.0,05/23/2013,Comedy,Todd Phillips,1h 40m,https://themoviedb.org/movie/109439
The Hangover Part II,64.0,05/27/2011,Comedy,Todd Phillips,1h 42m,https://themoviedb.org/movie/45243
Forgive Us Our Trespasses,63.0,02/17/2022,"Drama,War",Ashley Eakin,14m,https://themoviedb.org/movie/929436
Shrek the Third,63.0,05/17/2007,"Fantasy,Adventure,Animation,Comedy,Family",Chris Miller,1h 33m,https://themoviedb.org/movie/810
Love and Leashes,66.0,02/11/2022,"Romance,Comedy",Park Hyun-jin,1h 58m,https://themoviedb.org/movie/760517
The Courier,71.0,03/19/2021,"Thriller,History,Drama",Dominic Cooke,1h 52m,https://themoviedb.org/movie/522241
Bambi,70.0,08/21/1942,"Animation,Drama,Family",David Hand,1h 10m,https://themoviedb.org/movie/3170
Sex Tape,54.0,07/18/2014,Comedy,Jake Kasdan,1h 37m,https://themoviedb.org/movie/225886
Gladiator,75.0,03/06/1992,"Action,Drama",Rowdy Herrington,1h 41m,https://themoviedb.org/movie/16219
X,69.0,03/18/2022,"Horror,Thriller",Ti West,1h 46m,https://themoviedb.org/movie/760104
The Scientist,64.0,09/21/2020,Horror,Derrick Granado,1h 33m,https://themoviedb.org/movie/715658
Orphan,70.0,09/18/2009,"Horror,Thriller,Mystery",Jaume Collet-Serra,2h 3m,https://themoviedb.org/movie/21208
Rambo: Last Blood,65.0,09/20/2019,"Action,Thriller,Drama",Adrian Grünberg,1h 29m,https://themoviedb.org/movie/522938
Dragon Ball Z: Fusion Reborn,75.0,03/04/1995,"Animation,Action,Fantasy,ScienceFiction",Shigeyasu Yamauchi,55m,https://themoviedb.org/movie/39107
Trollhunters: Rise of the Titans,78.0,07/21/2021,"Animation,Fantasy,Family,Action,Adventure","Johane Matte,Andrew L. Schmidt,Francisco Ruiz Velasco",1h 46m,https://themoviedb.org/movie/730840
Voyagers,61.0,04/09/2021,"ScienceFiction,Thriller",Neil Burger,1h 48m,https://themoviedb.org/movie/597890
David and the Elves,61.0,12/06/2021,"Family,Fantasy,Comedy",Michał Rogalski,1h 46m,https://themoviedb.org/movie/882093
Ralph Breaks the Internet,72.0,11/23/2018,"Family,Animation,Comedy,Adventure","Phil Johnston,Rich Moore",1h 52m,https://themoviedb.org/movie/404368
How to Train Your Dragon 2,77.0,06/13/2014,"Fantasy,Action,Adventure,Animation,Comedy,Family",Dean DeBlois,1h 42m,https://themoviedb.org/movie/82702
Law Abiding Citizen,73.0,10/15/2009,"Drama,Crime,Thriller",F. Gary Gray,1h 49m,https://themoviedb.org/movie/22803
We Can Be Heroes,62.0,12/25/2020,"Action,Fantasy,Family,Comedy",Robert Rodriguez,1h 37m,https://themoviedb.org/movie/615677
Need for Speed,63.0,03/21/2014,"Action,Crime,Drama,Thriller",Scott Waugh,2h 12m,https://themoviedb.org/movie/136797
Terminator Salvation,60.0,05/20/2009,"Action,ScienceFiction,Thriller",McG,1h 57m,https://themoviedb.org/movie/534
John Wick,74.0,10/24/2014,"Action,Thriller",Chad Stahelski,1h 41m,https://themoviedb.org/movie/245891
Godzilla,63.0,05/16/2014,"Action,Drama,ScienceFiction",Gareth Edwards,2h 3m,https://themoviedb.org/movie/124905
The Good Dinosaur,67.0,11/27/2015,"Adventure,Animation,Family",Peter Sohn,1h 33m,https://themoviedb.org/movie/105864
Tentacles,63.0,02/12/2021,"Horror,Romance",Clara Aranovich,1h 24m,https://themoviedb.org/movie/786300
Dreamcatcher,62.0,03/05/2021,"Horror,Mystery,Thriller",Jacob Johnston,1h 30m,https://themoviedb.org/movie/793002
Outlaws,70.0,10/08/2021,Crime,Daniel Monzón,2h 5m,https://themoviedb.org/movie/776821
Ride Your Wave,75.0,06/21/2019,"Animation,Romance,Comedy,Drama,Fantasy",Masaaki Yuasa,1h 34m,https://themoviedb.org/movie/530079
Clash of the Titans,59.0,04/02/2010,"Adventure,Fantasy,Action",Louis Leterrier,1h 46m,https://themoviedb.org/movie/18823
Annabelle Comes Home,64.0,06/26/2019,"Horror,Thriller,Mystery",Gary Dauberman,1h 46m,https://themoviedb.org/movie/521029
Away,64.0,11/15/2019,"Animation,Drama,Adventure,Fantasy",Gints Zilbalodis,1h 15m,https://themoviedb.org/movie/597398
The Many Saints of Newark,66.0,10/01/2021,"Crime,Drama",Alan Taylor,2h,https://themoviedb.org/movie/524369
Barbie Mariposa,67.0,02/26/2008,"Animation,Fantasy,Family",Conrad Helten,1h 15m,https://themoviedb.org/movie/18198
Suicide Squad,59.0,08/05/2016,"Action,Adventure,Fantasy",David Ayer,2h 3m,https://themoviedb.org/movie/297761
American Sniper,74.0,01/16/2015,"War,Action",Clint Eastwood,2h 13m,https://themoviedb.org/movie/190859
Honest Thief,65.0,10/16/2020,"Thriller,Action,Crime,Drama",Mark Williams,1h 39m,https://themoviedb.org/movie/553604
Knives Out,79.0,11/27/2019,"Comedy,Crime,Mystery",Rian Johnson,2h 11m,https://themoviedb.org/movie/546554
Monsters University,70.0,06/21/2013,"Animation,Family",Dan Scanlon,1h 44m,https://themoviedb.org/movie/62211
Dawn of the Planet of the Apes,73.0,07/10/2014,"ScienceFiction,Action,Drama,Thriller",Matt Reeves,2h 10m,https://themoviedb.org/movie/119450
Despicable Me,72.0,08/06/2010,"Family,Animation,Comedy","Pierre Coffin,Chris Renaud",1h 35m,https://themoviedb.org/movie/20352
White Chicks,69.0,06/23/2004,"Comedy,Crime",Keenen Ivory Wayans,1h 49m,https://themoviedb.org/movie/12153
Home Team,68.0,01/28/2022,"Family,Comedy","Charles Kinnane,Daniel Kinnane",1h 39m,https://themoviedb.org/movie/817648
Wrong Turn,63.0,05/30/2003,"Horror,Thriller",Rob Schmidt,1h 24m,https://themoviedb.org/movie/9902
Maleficent,71.0,07/04/2014,"Fantasy,Adventure,Action,Family,Romance",Robert Stromberg,1h 37m,https://themoviedb.org/movie/102651
A Haunted House 2,61.0,04/18/2014,"Comedy,Horror",Michael Tiddes,1h 27m,https://themoviedb.org/movie/184345
Prometheus,65.0,06/08/2012,"ScienceFiction,Adventure,Mystery",Ridley Scott,2h 4m,https://themoviedb.org/movie/70981
Brother Bear,72.0,11/01/2003,"Adventure,Animation,Family","Aaron Blaise,Robert Walker",1h 25m,https://themoviedb.org/movie/10009
Logan,78.0,03/03/2017,"Action,Drama,ScienceFiction",James Mangold,2h 17m,https://themoviedb.org/movie/263115
Sexo,55.0,08/21/2001,Comedy,Rodrigo Bellott,10m,https://themoviedb.org/movie/766680
Dragon Ball Z: Lord Slug,64.0,03/19/1991,"Action,Animation,ScienceFiction",Mitsuo Hashimoto,52m,https://themoviedb.org/movie/39102
Mission: Possible,77.0,02/17/2021,"Comedy,Action,Thriller",Kim Hyung-joo,1h 45m,https://themoviedb.org/movie/629028
Ida Red,61.0,11/05/2021,"Crime,Thriller,Drama,Action",John Swab,1h 51m,https://themoviedb.org/movie/818192
We Bare Bears: The Movie,79.0,06/30/2020,"Family,Animation,Adventure,Comedy,TVMovie",Daniel Chong,1h 9m,https://themoviedb.org/movie/677638
Men in Black 3,65.0,05/25/2012,"Action,Comedy,ScienceFiction",Barry Sonnenfeld,1h 46m,https://themoviedb.org/movie/41154
Fairy Tail: Dragon Cry,66.0,05/06/2017,"Action,Adventure,Comedy,Fantasy,Animation",Tatsuma Minamikawa,1h 25m,https://themoviedb.org/movie/433422
Dinosaur Hotel,52.0,06/11/2021,"Horror,ScienceFiction,Mystery",Jack Peter Mundy,1h 17m,https://themoviedb.org/movie/839440
Penguins of Madagascar,65.0,11/26/2014,"Family,Animation,Adventure,Comedy","Eric Darnell,Simon J. Smith",1h 32m,https://themoviedb.org/movie/270946
Skylines,56.0,10/25/2020,"ScienceFiction,Action",Liam O'Donnell,1h 53m,https://themoviedb.org/movie/560144
Nobody Sleeps in the Woods Tonight,51.0,03/13/2020,"Horror,Thriller",Bartosz M. Kowalski,1h 42m,https://themoviedb.org/movie/681019
Dinosaur,65.0,05/19/2000,"Family,Animation","Eric Leighton,Ralph Zondag",1h 22m,https://themoviedb.org/movie/10567
101 Dalmatians,59.0,04/03/1997,"Family,Comedy",Stephen Herek,1h 43m,https://themoviedb.org/movie/11674
Barbie in A Mermaid Tale,72.0,03/09/2010,"Animation,Family,Fantasy",Adam Wood,1h 15m,https://themoviedb.org/movie/34134
Surviving Paradise: A Family Tale,64.0,03/03/2022,Documentary,Renée Godfrey,1h 18m,https://themoviedb.org/movie/936625
Terminator Genisys,59.0,07/02/2015,"ScienceFiction,Action,Thriller,Adventure",Alan Taylor,2h 6m,https://themoviedb.org/movie/87101
Demon Slayer: Kimetsu no Yaiba Sibling's Bond,88.0,03/29/2019,"Action,Animation,Fantasy",Haruo Sotozaki,1h 45m,https://themoviedb.org/movie/820232
The First Purge,60.0,07/04/2018,"Horror,Action,Thriller",Gerard McMurray,1h 37m,https://themoviedb.org/movie/442249
Mamá o papá,75.0,12/17/2021,"Comedy,Family",Dani de la Orden,1h 43m,https://themoviedb.org/movie/755437
New Gods: Nezha Reborn,82.0,02/12/2021,"Animation,Action,Fantasy",Zhao Ji,1h 56m,https://themoviedb.org/movie/663558
Minions: The Rise of Gru,0.0,07/01/2022,"Family,Animation,Action,Adventure,Comedy",Kyle Balda,1h 27m,https://themoviedb.org/movie/438148
The Croods,69.0,03/22/2013,"Animation,Adventure,Family,Fantasy,Comedy,Action","Chris Sanders,Kirk DeMicco",1h 38m,https://themoviedb.org/movie/49519
I Want to Eat Your Pancreas,83.0,09/01/2018,"Animation,Drama,Romance,Family",Shinichiro Ushijima,1h 48m,https://themoviedb.org/movie/504253
Descarrilados,54.0,08/20/2021,Comedy,Fernando García-Ruiz Rubio,NAN,https://themoviedb.org/movie/772388
Koati,74.0,10/22/2021,"Music,Animation",Rodrigo Perez-Castro,1h 32m,https://themoviedb.org/movie/554594
Aladdin,71.0,05/24/2019,"Adventure,Fantasy,Romance,Family",Guy Ritchie,2h 8m,https://themoviedb.org/movie/420817
Kate,67.0,09/10/2021,Action,Cedric Nicolas-Troyan,1h 46m,https://themoviedb.org/movie/597891
Taken 2,63.0,10/04/2012,"Action,Crime,Thriller",Olivier Megaton,1h 31m,https://themoviedb.org/movie/82675
Just Go with It,66.0,02/11/2011,"Comedy,Romance",Dennis Dugan,1h 57m,https://themoviedb.org/movie/50546
Man of Steel,66.0,06/14/2013,"Action,Adventure,Fantasy,ScienceFiction",Zack Snyder,2h 23m,https://themoviedb.org/movie/49521
It,72.0,09/08/2017,"Horror,Fantasy",Andy Muschietti,2h 15m,https://themoviedb.org/movie/346364
Rampage,64.0,04/13/2018,"Action,Adventure,ScienceFiction",Brad Peyton,1h 47m,https://themoviedb.org/movie/427641
Zombieland,73.0,10/08/2009,"Comedy,Horror",Ruben Fleischer,1h 28m,https://themoviedb.org/movie/19908
Wrath of the Titans,57.0,03/30/2012,"Fantasy,Adventure",Jonathan Liebesman,1h 39m,https://themoviedb.org/movie/57165
Southpaw,74.0,07/24/2015,"Action,Drama",Antoine Fuqua,2h 3m,https://themoviedb.org/movie/307081
Batman Begins,77.0,06/17/2005,"Action,Crime,Drama",Christopher Nolan,2h 20m,https://themoviedb.org/movie/272
UFO,57.0,02/23/2022,"Drama,Romance",Onur Bilgetay,1h 49m,https://themoviedb.org/movie/933357
Plan A,59.0,12/09/2021,Thriller,"Doron Paz,Yoav Paz",1h 49m,https://themoviedb.org/movie/714968
Shazam!,71.0,04/05/2019,"Action,Comedy,Fantasy",David F. Sandberg,2h 12m,https://themoviedb.org/movie/287947
Tenet,72.0,12/04/2020,"Action,Thriller,ScienceFiction",Christopher Nolan,2h 30m,https://themoviedb.org/movie/577922
Sex and the City,66.0,05/30/2008,"Comedy,Drama,Romance",Michael Patrick King,2h 25m,https://themoviedb.org/movie/4564
Ghost Rider: Spirit of Vengeance,50.0,02/17/2012,"Action,Fantasy,Thriller","Brian Taylor,Mark Neveldine",1h 36m,https://themoviedb.org/movie/71676
Annabelle: Creation,66.0,08/15/2017,"Horror,Mystery,Thriller",David F. Sandberg,1h 50m,https://themoviedb.org/movie/396422
Dhamaka,73.0,11/19/2021,"Thriller,Drama,Crime",Ram Madhvani,1h 44m,https://themoviedb.org/movie/767377
